2000,10,10,10,4.67,64,924
2000,10,10,10,5.73,18,655
5000,10,10,10,6.08,64,466
10000,10,10,10,36.18,27,203
5000,10,10,10,6.2,11,159
5000,10,10,10,7.28,22,804
10000,10,10,10,28.17,56,389
5000,10,10,10,8.98,46,310
3000,10,10,10,8.95,28,587
7500,10,10,10,11.65,44,750
5000,10,10,10,9.25,67,251
3000,10,10,10,10.52,43,748
5001,10,10,10,4.82,61,581
5005,10,10,10,4.9,21,516
20001,10,10,10,20.78,27,183
2001,10,10,10,1.98,48,724
5002,10,10,10,4.98,59,319
5001,10,10,10,11.1,52,618
2000,10,10,10,1.88,39,164
2001,10,10,10,1.97,50,956
2001,10,10,10,2,57,982
2000,10,10,10,2,62,193
20001,10,10,10,23.53,44,488
10001,10,10,10,13.43,56,488
2001,10,10,10,2.13,22,957
20001,10,10,10,22.32,29,578
10001,10,10,10,10.12,46,475
2000,10,10,10,1.98,13,739
2001,10,10,10,2,40,686
2001,10,10,10,4.65,66,803
5002,10,10,10,5.33,36,943
5005,10,10,10,5.32,60,665
10001,10,10,10,11.7,29,918
2000,10,10,10,1.97,33,176
2001,10,10,10,2.08,30,887
2001,10,10,10,2.88,48,917
2000,10,10,10,2.15,58,904
20001,10,10,10,21.98,20,962
3001,10,10,10,3.03,33,987
1996,10,10,10,2.32,30,414
10001,10,10,10,11.05,16,967
10001,10,10,10,16.87,59,443
2000,10,10,10,2.5,33,486
25001,10,10,10,9.45,44,270
2001,10,10,10,2.53,13,593
6467,12,12,12,20.5,68,656
5000,12,12,12,10.95,12,326
5000,12,12,12,15.55,11,755
7000,12,12,12,7.65,50,499
5000,12,12,12,5.67,17,949
2000,12,12,12,5.6,16,392
5000,12,12,12,7.38,69,302
2000,12,12,12,6.45,58,318
25002,12,12,12,36.78,11,504
2000,12,12,12,8.08,67,724
5000,12,12,12,10.57,52,401
10000,12,12,12,28.42,47,526
5000,12,12,12,4.55,20,212
5000,12,12,12,4.68,56,387
10000,12,12,12,27.82,22,351
5000,12,12,12,7.2,71,865
3000,12,12,12,8.73,24,604
7500,12,12,12,11.48,11,232
3000,12,12,12,11.1,41,396
5000,12,12,12,10.78,72,638
5005,12,12,12,8.3,18,546
20001,12,12,12,25.28,69,367
5001,12,12,12,8.28,38,976
2001,12,12,12,2.35,49,262
5002,12,12,12,5.88,13,638
5001,12,12,12,11.8,13,892
2000,12,12,12,2.12,50,939
2001,12,12,12,2.23,58,244
2001,12,12,12,2.5,34,347
2000,12,12,12,2.33,51,776
20001,12,12,12,24.63,30,430
10001,12,12,12,15.13,12,521
2001,12,12,12,2.55,59,332
20001,12,12,12,22.32,72,919
10001,12,12,12,11.8,31,219
2000,12,12,12,2.05,27,849
2001,12,12,12,2.25,17,669
2001,12,12,12,4.77,57,196
5005,12,12,12,5.73,46,524
5002,12,12,12,5.48,46,936
10001,12,12,12,11.58,36,635
2000,12,12,12,2.02,19,162
2001,12,12,12,2.12,32,334
2001,12,12,12,2.73,48,440
2000,12,12,12,1.92,53,718
20001,12,12,12,23.65,33,666
3001,12,12,12,3.13,51,735
1996,12,12,12,2,31,964
10001,12,12,12,10.63,20,223
10001,12,12,12,22.3,70,237
2000,12,12,12,2.23,26,644
25001,12,12,12,16.4,44,284
2001,12,12,12,2.32,33,479
